accuracy,dataset,comparison_thr,model,thr,tipo,accuracy_value,TP,FP,FN,TN,0.precision,0.recall,0.f1-score,0.support,1.precision,1.recall,1.f1-score,1.support,macro avg.precision,macro avg.recall,macro avg.f1-score,macro avg.support,weighted avg.precision,weighted avg.recall,weighted avg.f1-score,weighted avg.support
0.54,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.4_with_chi.csv,fake,SVC,0.4,1,0.54,499,459,1,41,0.5208768267223383,0.998,0.6844993141289437,500.0,0.9761904761904762,0.082,0.15129151291512916,500.0,0.7485336514564072,0.54,0.4178954135220364,1000.0,0.7485336514564072,0.54,0.41789541352203646,1000.0
0.75,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.4_with_chi.csv,fake,KNN,0.4,1,0.75,384,134,116,366,0.7413127413127413,0.768,0.7544204322200393,500.0,0.7593360995850622,0.732,0.745417515274949,500.0,0.7503244204489017,0.75,0.7499189737474942,1000.0,0.7503244204489017,0.75,0.7499189737474942,1000.0
0.796,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.4_with_chi.csv,fake,RF,0.5,1,0.796,419,123,81,377,0.7730627306273062,0.838,0.8042226487523992,500.0,0.8231441048034934,0.754,0.7870563674321504,500.0,0.7981034177153998,0.796,0.7956395080922748,1000.0,0.7981034177153998,0.796,0.7956395080922748,1000.0
0.723,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.4_with_chi.csv,fake,DT,0.5,1,0.723,325,102,175,398,0.7611241217798594,0.65,0.7011866235167206,500.0,0.6945898778359512,0.796,0.7418452935694315,500.0,0.7278569998079053,0.7230000000000001,0.721515958543076,1000.0,0.7278569998079054,0.723,0.721515958543076,1000.0
0.54,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.4_with_chi.csv,fake,SVC,0.5,1,0.54,499,459,1,41,0.5208768267223383,0.998,0.6844993141289437,500.0,0.9761904761904762,0.082,0.15129151291512916,500.0,0.7485336514564072,0.54,0.4178954135220364,1000.0,0.7485336514564072,0.54,0.41789541352203646,1000.0
0.751,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.4_with_chi.csv,fake,KNN,0.5,1,0.751,384,133,116,367,0.7427466150870407,0.768,0.7551622418879056,500.0,0.7598343685300207,0.734,0.7466937945066124,500.0,0.7512904918085307,0.751,0.7509280181972591,1000.0,0.7512904918085307,0.751,0.750928018197259,1000.0
0.793,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.5_with_chi.csv,fake,RF,0.1,1,0.793,422,129,78,371,0.7658802177858439,0.844,0.8030447193149381,500.0,0.8262806236080178,0.742,0.7818756585879874,500.0,0.7960804206969309,0.7929999999999999,0.7924601889514628,1000.0,0.7960804206969307,0.793,0.7924601889514626,1000.0
0.75,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.5_with_chi.csv,fake,DT,0.1,1,0.75,428,178,72,322,0.7062706270627063,0.856,0.7739602169981917,500.0,0.817258883248731,0.644,0.7203579418344519,500.0,0.7617647551557186,0.75,0.7471590794163219,1000.0,0.7617647551557186,0.75,0.7471590794163219,1000.0
0.54,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.5_with_chi.csv,fake,SVC,0.1,1,0.54,499,459,1,41,0.5208768267223383,0.998,0.6844993141289437,500.0,0.9761904761904762,0.082,0.15129151291512916,500.0,0.7485336514564072,0.54,0.4178954135220364,1000.0,0.7485336514564072,0.54,0.41789541352203646,1000.0
0.75,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.5_with_chi.csv,fake,KNN,0.1,1,0.75,384,134,116,366,0.7413127413127413,0.768,0.7544204322200393,500.0,0.7593360995850622,0.732,0.745417515274949,500.0,0.7503244204489017,0.75,0.7499189737474942,1000.0,0.7503244204489017,0.75,0.7499189737474942,1000.0
0.793,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.5_with_chi.csv,fake,RF,0.2,1,0.793,422,129,78,371,0.7658802177858439,0.844,0.8030447193149381,500.0,0.8262806236080178,0.742,0.7818756585879874,500.0,0.7960804206969309,0.7929999999999999,0.7924601889514628,1000.0,0.7960804206969307,0.793,0.7924601889514626,1000.0
0.75,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.5_with_chi.csv,fake,DT,0.2,1,0.75,428,178,72,322,0.7062706270627063,0.856,0.7739602169981917,500.0,0.817258883248731,0.644,0.7203579418344519,500.0,0.7617647551557186,0.75,0.7471590794163219,1000.0,0.7617647551557186,0.75,0.7471590794163219,1000.0
0.54,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.5_with_chi.csv,fake,SVC,0.2,1,0.54,499,459,1,41,0.5208768267223383,0.998,0.6844993141289437,500.0,0.9761904761904762,0.082,0.15129151291512916,500.0,0.7485336514564072,0.54,0.4178954135220364,1000.0,0.7485336514564072,0.54,0.41789541352203646,1000.0
0.75,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.5_with_chi.csv,fake,KNN,0.2,1,0.75,384,134,116,366,0.7413127413127413,0.768,0.7544204322200393,500.0,0.7593360995850622,0.732,0.745417515274949,500.0,0.7503244204489017,0.75,0.7499189737474942,1000.0,0.7503244204489017,0.75,0.7499189737474942,1000.0
0.793,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.5_with_chi.csv,fake,RF,0.3,1,0.793,422,129,78,371,0.7658802177858439,0.844,0.8030447193149381,500.0,0.8262806236080178,0.742,0.7818756585879874,500.0,0.7960804206969309,0.7929999999999999,0.7924601889514628,1000.0,0.7960804206969307,0.793,0.7924601889514626,1000.0
0.75,user_fake_authentic_2class_50000_threshold_4_EXTENDED_0.5_with_chi.csv,fake,DT,0.3,1,0.75,428,178,72,322,0.7062706270627063,0.856,0.7739602169981917,500.0,0.817258883248731,0.644,0.7203579418344519,500.0,0.7617647551557186,0.75,0.7471590794163219,1000.0,0.7617647551557186,0.75,0.7471590794163219,1000.0
